customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0019,Female,0,No,No,48,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.94,4361.02,No
CUST-0020,Male,0,No,No,58,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,31.92,1872.72,Yes
CUST-0021,Male,0,No,Yes,41,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),102.28,4203.76,No
CUST-0022,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,33.81,1967.73,No
CUST-0023,Female,0,No,No,14,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),48.52,730.96,Yes
CUST-0024,Female,0,No,No,61,No,No,No,No,No internet service,No,No,No,No,Two year,Yes,Mailed check,43.27,2679.32,No
CUST-0025,Male,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Credit card (automatic),55.67,3307.16,Yes
CUST-0026,Female,0,Yes,No,46,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),43.84,2005.13,Yes
CUST-0027,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),67.39,4056.78,Yes
CUST-0028,Female,1,No,No,50,Yes,No phone service,No,Yes,No internet service,No,No,No,No,Two year,No,Electronic check,59.19,2896.1,No
CUST-0029,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,117.4,6366.36,Yes
CUST-0030,Female,0,No,No,63,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,23.87,1482.85,Yes
CUST-0031,Male,1,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),32.54,57.94,No
CUST-0032,Male,0,Yes,No,50,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Electronic check,23.56,1144.52,No
CUST-0033,Female,0,Yes,Yes,6,Yes,No,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.15,505.41,No
CUST-0034,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,23.73,508.52,No
CUST-0035,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.31,7474.83,Yes
CUST-0036,Male,0,No,Yes,38,Yes,Yes,No,No,No,Yes,No,No,No,One year,Yes,Electronic check,69.7,2639.55,No
CUST-0037,Female,0,Yes,No,17,Yes,Yes,No,No,No,No,No internet service,No,No internet service,Two year,No,Electronic check,71.21,1138.15,No
CUST-0038,Male,0,Yes,No,3,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.69,198.88,Yes
CUST-0039,Female,0,No,No,59,Yes,Yes,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),35.42,2132.13,No
CUST-0040,Female,0,Yes,Yes,13,No,No,DSL,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,38.12,456.93,No
CUST-0041,Female,1,No,No,8,No,No,DSL,No,Yes,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),50.29,328.21,No
CUST-0042,Male,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,No,No,No internet service,Two year,No,Electronic check,77.9,4013.21,No
CUST-0043,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.37,12.7,No
CUST-0044,Male,1,Yes,No,59,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,29.94,1712.33,Yes
CUST-0045,Male,0,Yes,No,70,Yes,No,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),115.75,8113.37,No
CUST-0046,Male,0,No,No,43,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.46,875.83,No
CUST-0047,Male,0,Yes,No,7,Yes,No phone service,No,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),98.92,731.93,No
CUST-0048,Male,0,No,No,46,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),97.45,4460.41,Yes
CUST-0049,Male,0,Yes,Yes,34,Yes,Yes,No,No,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),48.12,1663.98,Yes
CUST-0050,Male,0,Yes,No,35,No,No,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),31.88,1091.19,No
CUST-0051,Male,0,No,Yes,49,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),32.89,1555.13,No
CUST-0052,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),88.34,237.87,No
CUST-0053,Male,0,Yes,Yes,1,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),82.85,1.94,No
CUST-0054,Male,0,Yes,No,5,Yes,Yes,No,Yes,No,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),96.92,574.01,Yes
CUST-0055,Male,0,Yes,No,53,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,112.47,5968.03,Yes
CUST-0056,Female,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),87.79,223.6,No
CUST-0057,Male,0,No,Yes,53,No,Yes,No,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Mailed check,33.91,1778.35,Yes
CUST-0058,Female,0,No,No,62,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),42.72,2526.12,Yes
CUST-0059,Male,0,Yes,Yes,17,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,102.89,1820.85,Yes
CUST-0060,Female,0,Yes,No,43,No,No,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,39.29,1756.3,No
CUST-0061,Male,1,No,No,33,No,No,No,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,25.54,848.2,Yes
CUST-0062,Male,0,No,Yes,61,Yes,No,No,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,88.93,5440.7,No
CUST-0063,Female,0,Yes,No,13,No,No,DSL,No,No internet service,Yes,No,Yes,Yes,One year,No,Mailed check,58.7,699.72,Yes
CUST-0064,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,One year,Yes,Mailed check,110.71,5143.62,No
CUST-0065,Female,0,No,Yes,14,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),83.6,1085.54,Yes
CUST-0066,Male,0,Yes,No,71,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Mailed check,27.34,1933.09,Yes
CUST-0067,Male,1,Yes,No,61,Yes,No,No,No,No,No internet service,No,No,No,One year,No,Electronic check,113.51,6977.16,Yes
CUST-0068,Male,1,No,Yes,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.24,1706.2,Yes
CUST-0069,Female,0,No,No,52,Yes,No,No,No,No,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),52.14,2728.66,Yes
CUST-0070,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,58.68,1398.58,Yes
CUST-0071,Female,1,No,No,25,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,23.4,503.79,Yes
CUST-0072,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,68.15,4113.13,Yes
CUST-0073,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.64,1283.47,Yes
CUST-0074,Male,0,No,No,28,Yes,No,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),58.55,1665.09,No
CUST-0075,Male,0,No,No,14,No,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),53.5,795.2,No
CUST-0076,Female,0,No,No,44,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,95.92,4269.03,Yes
CUST-0077,Female,1,No,No,64,Yes,No,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,98.97,6348.71,Yes
CUST-0078,Male,0,No,No,70,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),33.67,2428.31,Yes
CUST-0079,Male,0,Yes,Yes,8,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,55.09,418.09,No
CUST-0080,Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),55.77, ,No
CUST-0081,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),33.47,300.37,No
CUST-0082,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),98.49,5971.82,Yes
CUST-0083,Female,0,No,No,10,Yes,No,DSL,Yes,No,Yes,No internet service,No internet service,No,One year,No,Bank transfer (automatic),89.33,915.2,Yes
CUST-0084,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Two year,Yes,Electronic check,37.38,297.89,No
CUST-0085,Female,0,No,Yes,34,Yes,Yes,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,55.11,1788.32,No
CUST-0086,Female,0,No,No,34,Yes,No,DSL,No internet service,Yes,No,No,Yes,No,One year,Yes,Electronic check,28.88,996.01,No
CUST-0087,Male,1,No,No,32,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Two year,No,Electronic check,81.38,2564.47,No
CUST-0088,Female,1,No,No,4,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No,No,Two year,Yes,Mailed check,30.45,141.64,No
CUST-0089,Female,0,Yes,No,40,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,117.34,4688.85,No
CUST-0090,Male,0,No,Yes,27,No,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,96.71,2563.85,No
CUST-0091,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,57.47,400.3,Yes
CUST-0092,Male,0,No,No,72,Yes,Yes,No,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,76.4,5479.88,Yes
CUST-0093,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,One year,No,Electronic check,109.84,7812.14,Yes
CUST-0094,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,73.94,879.04,Yes
CUST-0095,Female,1,Yes,Yes,33,Yes,No,No,Yes,No,No,No,No internet service,No,Month-to-month,No,Electronic check,35.79,1135.24,Yes
CUST-0096,Female,0,No,Yes,32,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),56.31,1802.32,Yes
CUST-0097,Male,0,No,Yes,47,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,102.99,4815.76,Yes
CUST-0098,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),82.99,1812.17,No
CUST-0099,Male,1,Yes,No,61,No,No,No,No,No,No,No internet service,No,Yes,Two year,No,Electronic check,83.65,5210.45,Yes
CUST-0100,Female,0,No,No,36,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),105.37,3816.16,Yes
CUST-0101,Male,0,Yes,Yes,43,Yes,No,DSL,No,No,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),108.09,4663.55,No
CUST-0102,Female,0,Yes,No,34,Yes,No,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,110.69,3789.66,Yes
CUST-0103,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),27.78,1799.43,No
CUST-0104,Male,1,Yes,No,46,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Two year,No,Bank transfer (automatic),72.93,3263.49,Yes
CUST-0105,Male,0,No,No,2,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,No,Credit card (automatic),92.67,300.18,No
CUST-0106,Female,0,Yes,No,0,Yes,No,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),94.32, ,No
CUST-0107,Female,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,79.22,403.51,Yes
CUST-0108,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,35.01,486.03,No
CUST-0109,Male,0,Yes,No,26,No,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,98.39,2567.18,No
CUST-0110,Male,0,No,No,8,Yes,No,No,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.62,709.69,No
CUST-0111,Male,0,No,Yes,14,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),26.91,507.0,No
CUST-0112,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,64.86,2689.48,No
CUST-0113,Female,0,Yes,No,50,Yes,Yes,DSL,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),35.73,1787.38,No
CUST-0114,Female,1,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,52.17,3207.78,Yes
CUST-0115,Female,1,No,No,51,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Credit card (automatic),20.07,990.81,Yes
CUST-0116,Female,0,Yes,No,3,Yes,No,No,Yes,No internet service,No,Yes,No,No,One year,Yes,Electronic check,58.48,177.97,No
CUST-0117,Male,1,Yes,Yes,22,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),73.51,1570.69,No
CUST-0118,Male,0,No,No,14,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),80.52,1161.26,No
CUST-0119,Male,1,Yes,No,42,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),84.93,3534.78,Yes
CUST-0120,Male,0,No,No,28,Yes,Yes,No,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,102.3,2914.65,Yes
CUST-0121,Female,0,No,No,35,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,39.9,1445.63,Yes
CUST-0122,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,No,Electronic check,30.36,361.55,No
CUST-0123,Male,1,Yes,No,31,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,One year,No,Electronic check,103.83,3247.75,No
CUST-0124,Female,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,33.99,2410.82,Yes
CUST-0125,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,116.21,6667.06,Yes
CUST-0126,Female,0,No,No,27,Yes,No,DSL,No,Yes,No,No,No internet service,Yes,Two year,No,Mailed check,102.93,2865.69,No
CUST-0127,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,No,Two year,Yes,Mailed check,68.59,4445.56,Yes
CUST-0128,Female,0,No,No,41,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,116.88,4826.86,Yes
CUST-0129,Male,0,No,No,44,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,28.04,1269.94,Yes
CUST-0130,Male,0,No,No,61,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,48.71,2846.83,Yes
CUST-0131,Female,0,Yes,No,56,Yes,No,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.39,4580.99,Yes
CUST-0132,Male,0,No,No,5,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),53.43,309.17,No
CUST-0133,Male,1,No,Yes,27,Yes,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),111.55,3014.96,No
CUST-0134,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),24.85,705.4,No
CUST-0135,Male,0,Yes,No,43,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.47,3163.83,Yes
CUST-0136,Male,0,Yes,No,29,Yes,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.63,2312.74,Yes
CUST-0137,Male,0,Yes,No,61,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,83.85,5120.55,Yes
CUST-0138,Male,0,Yes,No,61,Yes,No,DSL,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Electronic check,43.94,2751.54,No
CUST-0139,Male,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No,No,No,One year,Yes,Mailed check,54.89, ,No
CUST-0140,Male,1,Yes,No,26,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),103.04,2672.66,Yes
CUST-0141,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,37.84,2278.57,Yes
CUST-0142,Female,1,Yes,No,2,Yes,No,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,101.35,222.13,Yes
CUST-0143,Female,0,Yes,No,69,No,No,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,74.8,5147.27,Yes
CUST-0144,Male,0,Yes,No,71,Yes,No,DSL,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,94.85,6722.87,Yes
CUST-0145,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,89.97,2303.98,Yes
CUST-0146,Female,0,Yes,No,8,Yes,No,DSL,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),39.1,289.76,Yes
CUST-0147,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),75.42,4600.11,Yes
CUST-0148,Male,0,No,No,36,Yes,No,No,No,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Electronic check,105.46,3695.49,No
CUST-0149,Female,0,Yes,No,50,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),61.68,2968.91,Yes
CUST-0150,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),115.39,4964.73,Yes
CUST-0151,Female,0,No,No,23,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.7,1326.64,Yes
CUST-0152,Male,0,Yes,Yes,58,No,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,32.6,1881.14,Yes
CUST-0153,Female,0,Yes,No,31,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,57.39,1760.23,Yes
CUST-0154,Female,0,Yes,No,51,Yes,Yes,DSL,No,No internet service,No,No,No,No internet service,One year,No,Mailed check,113.9,5836.0,No
CUST-0155,Female,1,Yes,No,61,Yes,No,No,No,No,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),50.38,3039.58,Yes
CUST-0156,Male,0,No,No,57,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,105.49,6091.41,Yes
CUST-0157,Female,0,Yes,No,51,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.82,5490.23,Yes
CUST-0158,Female,0,Yes,No,11,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),53.44,512.23,Yes
CUST-0159,Male,0,No,No,38,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),26.62,997.34,No
CUST-0160,Male,1,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,91.07,167.43,No
CUST-0161,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Electronic check,49.56,64.24,Yes
CUST-0162,Male,1,No,No,55,Yes,Yes,No,Yes,No,No,No,No,No,One year,Yes,Mailed check,96.93,5328.51,Yes
CUST-0163,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),62.74,3709.13,No
CUST-0164,Male,0,No,No,1,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),67.02,39.99,Yes
CUST-0165,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.43,152.58,Yes
CUST-0166,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.68,2958.54,Yes
CUST-0167,Female,0,No,No,0,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,62.78, ,Yes
CUST-0168,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.06,1070.51,Yes
CUST-0169,Female,0,No,No,1,Yes,No phone service,No,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.17,77.11,No
CUST-0170,Female,0,Yes,No,52,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,71.11,3722.95,Yes
CUST-0171,Male,0,No,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,99.53,4225.14,Yes
CUST-0172,Female,0,No,No,31,Yes,No,DSL,No,No,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),54.61,1642.24,No
CUST-0173,Female,0,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.94,4952.38,Yes
CUST-0174,Female,0,Yes,No,31,Yes,Yes,No,No,No,No,Yes,Yes,No,One year,No,Mailed check,85.66,2667.62,Yes
